img,x,y,h,w,sin,cos
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,560.71179,478.66529,25.0316,106.5,0.3474561402589531,0.9376962357801969
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,529.4131,525.12629,25.9784,115.5,0.49678614687311984,0.8678729885616668
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,519.85175,507.35295,26.4042,46.5,0.9259964895691952,0.3775321195680274
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,525.14786,527.8648,25.7265,111.0,0.7801291306161855,0.6256185255921012
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,512.00989,511.48207,26.3414,48.0,0.7801291306161855,0.6256185255921012
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,557.65044,480.26439,25.1784,106.5,0.6271654116859817,0.7788860933312092
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,509.85699,513.94507,26.1932,46.5,0.44806961894111574,0.8939986669911557
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,545.10829,469.67659,26.038,55.5,0.5771124074791528,0.8166647225964987
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,554.46463,489.0082,25.8744,103.5,0.40555961104043764,0.9140685980235449
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,540.12397,474.22163,25.9087,48.0,0.32635190707044814,0.9452483444849198
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,528.7776,525.71739,26.1756,106.5,0.921616776977301,0.3881011677307501
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,509.76313,514.74296,26.1323,48.0,0.17143562811525073,0.9851953234829779
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,546.48326,518.98458,25.9676,154.5,0.19447403798105808,0.9809076656604035
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,511.28894,513.05397,26.4582,48.0,0.9341266239310397,0.35694180262782044
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,536.78629,520.16156,26.2029,105.0,0.7953835719126784,0.6061064044632999
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,545.64574,537.79558,26.1359,178.5,0.551185772441861,0.8343825527044949
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,555.73106,527.20871,26.0363,190.5,0.3589186261229384,0.9333688551810706
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,554.87924,484.61153,26.0597,109.5,0.8386724690891937,0.544636107499159
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,510.18827,513.80784,26.1288,49.5,-0.19346385101503977,0.9811074040850117
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,573.82897,501.91483,25.9723,175.5,0.5142763878403379,0.8576245081094024
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,544.84659,498.44431,25.8575,157.5,-0.351320433362889,0.936255282015387
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,529.28967,516.85865,25.8848,106.5,0.1086951126227611,0.994075134228759
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,540.12497,505.67946,26.2695,162.0,-0.9940639361415085,0.1087974763625099
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,511.65774,512.69296,26.4715,48.0,-0.9566902068453497,0.2911079664423529
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,539.43341,469.78038,26.2314,39.0,0.8630475215632909,0.5051227331287524
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,562.50777,550.01824,25.7513,117.0,0.5123531591882122,0.8587748484147976
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,559.53416,484.44292,25.6719,106.5,0.04386175594320005,0.999037610085616
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,510.71468,513.00271,26.5111,45.0,0.9998190806791147,0.01902119633382584
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,558.51998,533.03207,25.9584,121.5,-0.22301363163115917,0.9748153261550013
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,554.69546,508.62414,26.2743,175.5,0.9679340354171038,0.25120450450014026
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,552.18342,498.9448,26.2553,145.5,0.9679340354171038,0.25120450450014026
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,575.28106,536.55873,25.7507,157.5,-0.25826098274762227,0.9660751858888791
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,543.19736,541.32204,26.0211,67.5,-0.16346543396252683,0.9865490620843156
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,524.56413,487.49515,25.8254,132.0,-0.8296558334944606,0.5582751991165394
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,579.06429,484.25624,26.0168,49.5,0.6821961853206806,0.7311691765480214
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,571.56185,513.80561,26.1072,139.5,-0.9635613910556973,0.2674872813178409
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,568.92585,544.66696,25.7781,144.0,0.055561854535594424,0.9984552470294127
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,580.73279,536.63857,25.9816,87.0,-0.84004905433567,0.5425104481111368
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,577.50687,523.49781,26.0534,166.5,-0.9999605244603048,0.008885354302005025
0_1a0312faac503f7dc2c1a442b53fa053_RGB.png,591.83901,546.67048,25.851,108.0,-0.9535977393480463,0.3010836287649923
1_1a0312faac503f7dc2c1a442b53fa053_RGB.png,552.7655,487.75747,25.0812,120.0,0.3939370970041686,0.9191374019176503
1_1a0312faac503f7dc2c1a442b53fa053_RGB.png,500.00797,521.3163,26.3831,49.5,0.6858361355657989,0.7277559997362929
